,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,0.6546896457672119,0.015947948264093598,0.03151760101318359,0.004713189946451564,50,50,1,76,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 76}",-1695.1036914585288,-1982.1896231579594,-3714.191556457019,-3754.645413241981,-1557.5106342669103,-2540.7281837164796,984.3143992023471,3203
57,0.6048737525939941,0.05356128117226238,0.02167677879333496,0.004636085447090311,50,50,1,77,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 77}",-1680.4337561653697,-1986.982185471828,-3733.359588703444,-3757.8059056763645,-1560.915431372518,-2543.8993734779046,990.9966427322582,3219
58,0.4928335189819336,0.049444047383621,0.017449378967285156,0.003933878852284308,50,50,1,78,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 78}",-1674.508292790079,-2018.4181613509907,-3765.592477549274,-3771.243171128447,-1553.6916685624212,-2556.6907542762424,1001.0565813584222,3275
59,0.47511067390441897,0.07457761341335001,0.028737401962280272,0.00616491368687343,50,50,1,79,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 79}",-1684.6569601926494,-2011.9269083284278,-3733.999544173615,-3763.228684847482,-1557.383364859422,-2550.2390924803194,989.6875758941143,3237
60,0.10417914390563965,0.011464217374921992,0.00916152000427246,0.001093764583250144,50,50,2,20,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 20}",-1847.6038832593108,-1757.3140747363468,-4885.487156282759,-3447.284621015344,-2275.7141581585515,-2842.6807786904624,1185.6014305959882,3596
61,0.14056434631347656,0.0323055454445232,0.014099454879760743,0.0023726877794011496,50,50,2,21,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 21}",-1821.5846849931452,-1787.109565434168,-4918.083187333737,-3427.1583241253948,-2239.2770378236187,-2838.6425599420127,1197.4799803068138,3595
62,0.19636144638061523,0.013274729544707493,0.009320497512817383,0.0032579317988003045,50,50,2,22,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 22}",-1808.9561060964315,-1834.1800008539333,-4859.936961201858,-3419.1065065216367,-2152.3463903393376,-2814.905193002639,1179.82658006601,3593
63,0.19815473556518554,0.010979917187862332,0.01734580993652344,0.003996184938883249,50,50,2,23,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 23}",-1756.0691813401368,-1840.2014120438678,-4738.880779016405,-3529.274737595496,-2189.179544761578,-2810.7211309514964,1155.3901606832173,3591
64,0.2117931365966797,0.004684395263648768,0.016115427017211914,0.006310182083855633,50,50,2,24,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 24}",-1724.637589927483,-1844.0781048001713,-4642.119670815947,-3505.955822850752,-2136.30253305036,-2770.6187442889427,1131.2071008301632,3588
65,0.21187152862548828,0.010277962665357165,0.016545581817626952,0.004571514429911244,50,50,2,25,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 25}",-1791.8814627493325,-1775.3247442498475,-4586.620675808456,-3521.7051527992467,-2134.224671098877,-2761.951341341152,1114.9127695154475,3586
66,0.2257376194000244,0.01076961665828435,0.015961074829101564,0.0026192635611353107,50,50,2,26,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 26}",-1787.8568892439282,-1811.1542577313103,-4539.518500402247,-3580.5878965637116,-2032.9992289774261,-2750.423354583724,1114.7638871126837,3583
67,0.21674880981445313,0.007117177989031555,0.019904375076293945,0.006104642171755541,50,50,2,27,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 27}",-1697.727584665015,-1799.7838024145258,-4393.126702582708,-3630.624444544478,-2009.9425262675418,-2706.2410120948534,1097.6031751606013,3566
68,0.2313096523284912,0.008657708111028188,0.013676309585571289,0.0047111198259194385,50,50,2,28,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 28}",-1574.2479627306218,-1840.744372947677,-4373.481204772555,-3673.092763362552,-1936.7634825117698,-2679.665957265035,1125.4820625874615,3552
69,0.24285964965820311,0.01339235710114128,0.0150634765625,0.004684559481190015,50,50,2,29,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 29}",-1686.5606664205984,-1863.0452689323854,-4418.0318474522555,-3734.175266348603,-1965.3939370719218,-2733.441397245153,1120.9601997869406,3581
70,0.2351593017578125,0.004850370839379232,0.013869905471801757,0.004377306958042878,50,50,2,30,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 30}",-1574.0649585973854,-1831.0561030687568,-4331.089347837742,-3782.438583889455,-2047.1177873640813,-2713.153356151484,1120.7416376382969,3574
71,0.23689017295837403,0.010990399761210414,0.01487903594970703,0.005094659162535427,50,50,2,31,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 31}",-1549.6333374964615,-1829.3282266523802,-4204.589319066413,-3684.316628702853,-2076.5328283265944,-2668.8800680489403,1067.5158174963726,3535
72,0.2580005168914795,0.01823059905549582,0.020975399017333984,0.0011147944236461348,50,50,2,32,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 2, 'n_estimators': 32}",-1575.6651528078937,-1810.7485441337565,-4303.464922884489,-3724.7415188053683,-2038.9224078524123,-2690.708509296784,1105.6838484392758,3558
