,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,0.38397579193115233,0.0076498046641091865,0.0025699615478515627,0.0025461519492049876,0.01,2,66,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 66}",-1748.4160504288552,-2312.97330808602,-4603.193743401477,-4352.481250905035,-1867.4760641825808,-2976.9080834007937,1242.4047692516249,959
62,0.38603887557983396,0.006291669667963259,0.005002593994140625,0.0018051769003744201,0.01,2,67,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 67}",-1730.9557043355082,-2306.212250803964,-4595.017675674211,-4333.712709998572,-1846.7621609941611,-2962.5321003612835,1243.9955096073425,957
63,0.39107675552368165,0.006245657081830658,0.0038139820098876953,0.002668102890209404,0.01,2,68,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 68}",-1710.4706322081463,-2291.6191774368463,-4569.736917913708,-4304.486636465737,-1839.0134801439694,-2943.0653688336815,1237.9120077379507,951
64,0.40209012031555175,0.006771998917347915,0.006652641296386719,0.0030917077389588867,0.01,2,69,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 69}",-1696.8822789137544,-2277.9399700489594,-4558.2404001501145,-4292.541946641494,-1819.0613355092587,-2928.933186252716,1239.9699979884915,947
65,0.4058648109436035,0.011069567037357604,0.005330991744995117,0.002214912826197342,0.01,2,70,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 70}",-1680.3229794214992,-2265.4845346928787,-4550.537391530261,-4268.5904190369965,-1811.6829158699773,-2915.323648110322,1238.6117495658411,944
66,0.41259164810180665,0.009405622979558855,0.008370494842529297,0.002954725371925857,0.01,2,71,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 71}",-1670.5804292344558,-2252.5999607715703,-4529.314221552765,-4253.357500525545,-1792.4683575915801,-2899.6640939351832,1236.4033664891585,939
67,0.42867331504821776,0.0074662166439719325,0.0024726390838623047,0.0019022544842455017,0.01,2,72,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 72}",-1652.5055528690941,-2247.0889460377266,-4509.169054878201,-4223.299048452122,-1781.7034571394215,-2882.753211875313,1230.6242771935956,933
68,0.4300849437713623,0.004968434531229209,0.007370710372924805,0.004898072036441556,0.01,2,73,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 73}",-1639.2900111697377,-2234.936867784206,-4480.589034919256,-4208.424809651161,-1770.0861765043173,-2866.665380005735,1225.8127988940698,928
69,0.4349363803863525,0.006396403664014771,0.007849836349487304,0.0029124438970952364,0.01,2,74,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 74}",-1623.678622287521,-2223.550829802713,-4473.4167827687215,-4185.836478919588,-1764.3934746386713,-2854.175237683443,1224.3119045505898,923
70,0.4428406715393066,0.0039906114401334885,0.004154491424560547,0.0030534920808692897,0.01,2,75,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 75}",-1615.2344869909411,-2218.742570826006,-4453.305022888956,-4155.700734469279,-1746.7748586058467,-2837.9515347562055,1217.7810232918685,856
71,0.4447960376739502,0.010421519493074259,0.0047699928283691405,0.003723085409812853,0.01,2,76,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 76}",-1600.162093245718,-2207.533015500544,-4433.998600198761,-4140.755717927266,-1740.442680292513,-2824.5784214329606,1214.730148679745,849
72,0.4423677921295166,0.011059913590412014,0.0018138408660888672,0.0019485936811874797,0.01,2,77,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 77}",-1587.6605812242865,-2194.467542689777,-4415.053977959674,-4120.59746477278,-1729.656150497097,-2809.487143428723,1211.1151361929021,843
73,0.4408258438110352,0.013162855072637978,0.005318069458007812,0.003645340981009018,0.01,2,78,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 78}",-1571.368570150505,-2184.0495358438707,-4395.645812623952,-4107.645739291273,-1720.1582738906804,-2795.773586360056,1209.2081660429367,836
74,0.4495421886444092,0.007242034692147845,0.010865259170532226,0.002587546280713088,0.01,2,79,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 79}",-1559.3957931688337,-2182.4408060269025,-4389.102857392953,-4086.618473540823,-1714.9553432660446,-2786.5026546791114,1206.443049576084,832
75,0.047689199447631836,0.005383411443619974,0.005989503860473633,0.003543350245678609,0.01,3,5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}",-3739.649852249115,-4371.736429025126,-6514.872614741692,-6668.046888806026,-3119.1685354566835,-4882.694864055729,1451.1472423652403,1199
76,0.0522364616394043,0.004707744044491772,0.00637664794921875,0.0046281635468602336,0.01,3,6,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 6}",-3679.925553517006,-4290.684090019108,-6458.612585414448,-6582.391166574278,-3074.9339394492445,-4817.309466994817,1443.3459922019354,1194
77,0.06474766731262208,0.007169196684954527,0.004364824295043946,0.002489901898037818,0.01,3,7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 7}",-3626.044575777797,-4211.6895497514315,-6415.897899827572,-6498.408572783615,-3032.067966385376,-4756.821712905159,1437.7941493693008,1190
78,0.07031941413879395,0.003607471379303896,0.0069621562957763675,0.0030290091020651762,0.01,3,8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 8}",-3561.7709323599047,-4134.707409455284,-6370.188184913086,-6421.672202746407,-2974.2492580190983,-4692.517597498756,1438.5228925387464,1186
79,0.07776899337768554,0.005430350524458203,0.00574960708618164,0.0034660088996688347,0.01,3,9,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 9}",-3508.6929342447097,-4062.451896966889,-6316.677617309482,-6344.956810288064,-2926.8182517179243,-4631.919502105414,1432.9136942673797,1182
80,0.09259977340698242,0.011454587885107514,0.0035825729370117187,0.0026242964947066146,0.01,3,10,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10}",-3447.1695862312745,-3989.183284710024,-6268.580708831631,-6280.127851388564,-2872.268335652395,-4571.465953362777,1434.57951654039,1178
81,0.08987340927124024,0.007814637683074332,0.006509065628051758,0.0037516326192310006,0.01,3,11,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 11}",-3396.425768779348,-3920.458203302597,-6226.504890568698,-6203.833841516624,-2827.963628289702,-4515.037266491394,1430.5375707050064,1174
82,0.098895263671875,0.00716951324137306,0.007724094390869141,0.0018767567436695962,0.01,3,12,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 12}",-3337.5426379508026,-3850.7442030906313,-6184.099079029221,-6137.462397286601,-2776.535776336902,-4457.276818738831,1431.8879563763865,1170
83,0.1078033447265625,0.004633142432268635,0.007655143737792969,0.004587112012955183,0.01,3,13,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 13}",-3288.242994866398,-3785.39752494434,-6133.9331858729975,-6062.951733682059,-2735.2127715826546,-4401.14764218969,1425.284710710429,1165
84,0.11101408004760742,0.005886157312107552,0.008553886413574218,0.005009325601653598,0.01,3,14,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 14}",-3229.040519222038,-3719.0857082655216,-6084.640745146284,-6003.980972696461,-2697.0044102391853,-4346.750471113897,1423.4870000392136,1161
85,0.11819767951965332,0.0062368786717635905,0.006577682495117187,0.0032743472728544998,0.01,3,15,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 15}",-3185.5412093001137,-3656.9716364551773,-6017.05044224799,-5932.158957687279,-2647.5821114871987,-4287.860871435551,1414.033736721993,1157
86,0.12981634140014647,0.006120753771517925,0.0063704967498779295,0.0023056177903926513,0.01,3,16,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 16}",-3139.7656343321355,-3593.9158028814672,-5978.293558996515,-5869.5886747327695,-2616.2094914916715,-4239.554632486912,1410.0963668479944,1153
87,0.132700777053833,0.00537387785141464,0.004306793212890625,0.003924032399005277,0.01,3,17,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 17}",-3088.780313933331,-3532.999479464123,-5931.348468056867,-5819.655809809844,-2569.64189808724,-4188.485193870281,1411.2374663296346,1149
88,0.13195385932922363,0.0051329992353966415,0.009106636047363281,0.004631017305539031,0.01,3,18,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 18}",-3044.4269028895383,-3475.4253292353687,-5873.2550426608495,-5750.867598862571,-2539.785120973382,-4136.751998924343,1400.1173007724667,1145
